date,cases,deaths
2021-03-27,159,2
2021-03-28,159,2
2021-03-29,159,2
2021-03-30,159,2
2021-03-31,159,2
2021-04-01,159,2
2021-04-02,159,2
2021-04-03,159,2
2021-04-04,159,2
2021-04-05,159,2
2021-04-06,159,2
2021-04-07,160,2
2021-04-08,160,2
2021-04-09,160,2
2021-04-10,160,2
2021-04-11,160,2
2021-04-12,160,2
2021-04-13,160,2
2021-04-14,160,2
2021-04-15,161,2
2021-04-16,162,2
2021-04-17,162,2
2021-04-18,162,2
2021-04-19,162,2
2021-04-20,162,2
2021-04-21,162,2
2021-04-22,162,2
2021-04-23,162,2
2021-04-24,164,2
2021-04-25,164,2
2021-04-26,164,2
2021-04-27,164,2
2021-04-28,164,2
2021-04-29,164,2
2021-04-30,164,2
2021-05-01,168,2
2021-05-02,168,2
2021-05-03,168,2
2021-05-04,168,2
2021-05-05,168,2
2021-05-06,168,2
2021-05-07,169,2
2021-05-08,169,2
2021-05-09,169,2
2021-05-10,170,2
2021-05-11,170,2
2021-05-12,170,2
2021-05-13,170,2
2021-05-14,170,2
2021-05-15,172,2
2021-05-16,172,2
2021-05-17,172,2
2021-05-18,174,2
2021-05-19,174,2
2021-05-20,176,2
2021-05-21,176,2
2021-05-22,181,2
2021-05-23,181,2
2021-05-24,181,2
2021-05-25,181,2
2021-05-26,181,2
2021-05-27,181,2
2021-05-28,183,2
2021-05-29,183,2
2021-05-30,183,2
2021-05-31,183,2
2021-06-01,183,2
2021-06-02,183,2
2021-06-03,183,2
2021-06-04,183,2
2021-06-05,183,2
2021-06-06,183,2
2021-06-07,183,2
2021-06-08,183,2
2021-06-09,183,2
2021-06-10,183,2
2021-06-11,183,2
2021-06-12,183,2
2021-06-13,183,2
2021-06-14,183,2
2021-06-15,183,2
2021-06-16,183,2
2021-06-17,183,2
2021-06-18,183,2
2021-06-19,183,2
2021-06-20,183,2
2021-06-21,183,2
2021-06-22,183,2
2021-06-23,183,2
2021-06-24,183,2
2021-06-25,183,2
2021-06-26,183,2
2021-06-27,183,2
2021-06-28,183,2
2021-06-29,183,2
2021-06-30,183,2
2021-07-01,183,2
2021-07-02,183,2
2021-07-03,183,2
2021-07-04,183,2
2021-07-05,184,2
2021-07-06,184,2
2021-07-07,185,2
2021-07-08,185,2
2021-07-09,185,2
2021-07-10,185,2
2021-07-11,185,2
2021-07-12,185,2
2021-07-13,187,2
2021-07-14,187,2
2021-07-15,187,2
2021-07-16,187,2
2021-07-17,187,2
2021-07-18,187,2
2021-07-19,188,2
2021-07-20,188,2
2021-07-21,188,2
2021-07-22,188,2
2021-07-23,188,2
2021-07-24,188,2
2021-07-25,190,2
2021-07-26,190,2
2021-07-27,190,2
2021-07-28,190,2
2021-07-29,190,2
2021-07-30,190,2
2021-07-31,196,2
2021-08-01,196,2
2021-08-02,198,2
2021-08-03,198,2
2021-08-04,198,2
2021-08-05,198,2
2021-08-06,206,2
2021-08-07,206,2
2021-08-08,206,2
2021-08-09,210,2
2021-08-10,210,2
2021-08-11,211,2
2021-08-12,211,2
2021-08-13,214,2
2021-08-14,214,2
2021-08-15,214,2
2021-08-16,219,2
2021-08-17,220,2
2021-08-18,220,2
2021-08-19,224,2
2021-08-20,224,2
2021-08-21,224,2
2021-08-22,224,2
2021-08-23,226,2
2021-08-24,226,2
2021-08-25,230,2
2021-08-26,232,2
2021-08-27,234,2
2021-08-28,234,2
2021-08-29,234,2
2021-08-30,241,2
2021-08-31,241,2
2021-09-01,241,2
2021-09-02,241,2
2021-09-03,243,2
2021-09-04,243,2
2021-09-05,243,2
2021-09-06,248,2
2021-09-07,248,2
2021-09-08,249,2
2021-09-09,249,2
2021-09-10,250,2
2021-09-11,250,2
2021-09-12,250,2
2021-09-13,252,2
2021-09-14,256,2
2021-09-15,258,2
2021-09-16,258,2
2021-09-17,258,2
2021-09-18,258,2
2021-09-19,258,2
2021-09-20,263,2
2021-09-21,265,2
2021-09-22,265,2
2021-09-23,265,2
2021-09-24,265,2
2021-09-25,265,2
2021-09-26,265,2
2021-09-27,267,2
2021-09-28,268,2
2021-09-29,268,2
2021-09-30,269,2
2021-10-01,270,2
2021-10-02,270,2
2021-10-03,270,2
2021-10-04,272,2
2021-10-05,272,2
2021-10-06,273,2
2021-10-07,273,2
2021-10-08,273,2
2021-10-09,273,2
2021-10-10,273,2
2021-10-11,277,3
2021-10-12,281,3
2021-10-13,282,3
2021-10-14,282,3
2021-10-15,282,3
2021-10-16,282,3
2021-10-17,282,3
2021-10-18,289,3
2021-10-19,289,3
2021-10-20,289,3
2021-10-21,289,3
2021-10-22,290,3
2021-10-23,290,3
2021-10-24,290,3
2021-10-25,291,3
2021-10-26,291,3
2021-10-27,291,3
2021-10-28,291,3
2021-10-29,291,3
2021-10-30,291,3
2021-10-31,312,3
2021-11-01,312,3
2021-11-02,312,3
2021-11-03,312,3
2021-11-04,312,3
2021-11-05,343,3
2021-11-06,343,3
2021-11-07,343,3
2021-11-08,343,3
2021-11-09,343,3
2021-11-10,343,3
2021-11-11,343,3
2021-11-12,343,3
2021-11-13,343,3
2021-11-14,343,3
2021-11-15,343,3
2021-11-16,395,3
2021-11-17,408,3
2021-11-18,431,3
2021-11-19,438,3
2021-11-20,438,3
2021-11-21,464,3
2021-11-22,474,3
2021-11-23,474,3
2021-11-24,604,3
2021-11-25,649,3
2021-11-26,669,3
2021-11-27,669,3
2021-11-28,669,3
2021-11-29,669,3
2021-11-30,855,3
2021-12-01,855,3
2021-12-02,1062,3
2021-12-03,1104,3
2021-12-04,1104,3
2021-12-05,1104,3
2021-12-06,1182,3
2021-12-07,1182,3
2021-12-08,1182,3
2021-12-09,1514,5
2021-12-10,1514,5
2021-12-11,1514,5
2021-12-12,1908,6
2021-12-13,1908,6
2021-12-14,2018,6
2021-12-15,2117,6
2021-12-16,2205,6
2021-12-17,2321,6
2021-12-18,2375,7
2021-12-19,2422,8
2021-12-20,2506,8
2021-12-21,2580,8
2021-12-22,2641,8
2021-12-23,2737,8
2021-12-24,2737,8
2021-12-25,2737,8
2021-12-26,2737,8
2021-12-27,2963,11
2021-12-28,2963,11
2021-12-29,3085,13
2021-12-30,3208,13
2021-12-31,3255,13
2022-01-01,3287,14
2022-01-02,3297,17
2022-01-03,3334,18
2022-01-04,3392,18
2022-01-05,3453,18
2022-01-06,3518,18
2022-01-07,3561,19
2022-01-08,3598,19
2022-01-09,3647,20
2022-01-10,3665,20
2022-01-11,3698,20
2022-01-12,3751,20
2022-01-13,3802,20
2022-01-14,3868,21
2022-01-15,3905,21
2022-01-16,3905,21
2022-01-17,3971,21
2022-01-18,4014,21
2022-01-19,4067,21
2022-01-20,4119,21
